State,County,City,Date,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Arizona,Maricopa,Phoenix,7/9/2006,10.375,0.045083,0.708333,0.2875
Arizona,Maricopa,Phoenix,7/10/2006,16.956522,0.033917,1.045455,0.365217
Arizona,Maricopa,Phoenix,7/11/2006,17.95,0.028458,1.26087,0.365217
Arizona,Maricopa,Phoenix,7/12/2006,13.125,0.031292,1.083333,0.320833
Arizona,Maricopa,Phoenix,7/13/2006,11.291667,0.034,1.041667,0.283333
Arizona,Maricopa,Phoenix,7/14/2006,19.125,0.034917,1.375,0.475
Arizona,Maricopa,Phoenix,7/15/2006,11.958333,0.044958,1.166667,0.345833
Arizona,Maricopa,Phoenix,7/16/2006,10.833333,0.045375,0.75,0.354167
Arizona,Maricopa,Phoenix,7/17/2006,10.458333,0.055833,0.625,0.333333
Arizona,Maricopa,Phoenix,7/18/2006,9.761905,0.054667,1.086957,0.291304
Arizona,Maricopa,Phoenix,7/19/2006,10.208333,0.054708,0.916667,0.2625
Arizona,Maricopa,Phoenix,7/20/2006,13.25,0.043292,0.666667,0.3
Arizona,Maricopa,Phoenix,7/26/2006,9.041667,0.039792,1,0.320833
Arizona,Maricopa,Phoenix,7/27/2006,9.416667,0.031417,1,0.283333
Arizona,Maricopa,Phoenix,7/28/2006,10.708333,0.029958,1.041667,0.320833
Arizona,Maricopa,Phoenix,7/29/2006,4.666667,0.02875,1,0.2375
Arizona,Maricopa,Phoenix,7/30/2006,3.958333,0.03125,1.291667,0.254167
Arizona,Maricopa,Phoenix,7/31/2006,8.181818,0.026833,1.636364,0.286364
Arizona,Maricopa,Phoenix,8/1/2006,7,0.023958,2.434783,0.273913
Arizona,Maricopa,Phoenix,8/2/2006,14.5,0.021667,2.625,0.4
Arizona,Maricopa,Phoenix,8/3/2006,10.291667,0.028208,3.083333,0.329167
Arizona,Maricopa,Phoenix,8/4/2006,14.625,0.028542,3.083333,0.3875
Arizona,Maricopa,Phoenix,8/5/2006,13.833333,0.022375,3.625,0.4
Arizona,Maricopa,Phoenix,8/6/2006,16.375,0.029167,4.416667,0.5375
Arizona,Maricopa,Phoenix,8/7/2006,12.173913,0.042417,4.521739,0.326087
Arizona,Maricopa,Phoenix,8/8/2006,11.590909,0.0425,4.26087,0.356522
Arizona,Maricopa,Phoenix,8/9/2006,13.083333,0.040792,4.166667,0.354167
Arizona,Maricopa,Phoenix,8/10/2006,14.291667,0.046333,4,0.366667
Arizona,Maricopa,Phoenix,8/11/2006,10.791667,0.045667,4,0.354167
Arizona,Maricopa,Phoenix,8/12/2006,9.541667,0.040208,3.958333,0.3625
Arizona,Maricopa,Phoenix,8/13/2006,9.125,0.037583,4,0.2875
Arizona,Maricopa,Phoenix,8/14/2006,11.166667,0.039208,4.458333,0.308333
Arizona,Maricopa,Phoenix,8/15/2006,11.52381,0.036,2.304348,0.317391
Arizona,Maricopa,Phoenix,8/16/2006,9.875,0.02675,1,0.279167
Arizona,Maricopa,Phoenix,8/17/2006,14.875,0.0215,1.291667,0.370833
Arizona,Maricopa,Phoenix,8/18/2006,23,0.024417,1.708333,0.575
Arizona,Maricopa,Phoenix,8/19/2006,22.291667,0.034958,1.916667,0.5375
Arizona,Maricopa,Phoenix,8/20/2006,7.666667,0.040542,1.625,0.2375
Arizona,Maricopa,Phoenix,8/21/2006,10.73913,0.041417,1.272727,0.308696
Arizona,Maricopa,Phoenix,8/22/2006,14.2,0.033708,1.043478,0.463636
Arizona,Maricopa,Phoenix,8/23/2006,13.125,0.046625,1.291667,0.345833
Arizona,Maricopa,Phoenix,8/24/2006,15.541667,0.033625,1.041667,0.375
Arizona,Maricopa,Phoenix,8/25/2006,13.583333,0.032083,1,0.379167
Arizona,Maricopa,Phoenix,8/26/2006,12.25,0.026625,1.208333,0.370833
Arizona,Maricopa,Phoenix,8/27/2006,18.958333,0.032083,1.416667,0.5375
Arizona,Maricopa,Phoenix,8/28/2006,27.958333,0.028375,1.458333,0.6625
Arizona,Maricopa,Phoenix,8/29/2006,32,0.026542,1,0.6
Arizona,Maricopa,Phoenix,8/30/2006,21.652174,0.031583,0.272727,0.534783
Arizona,Maricopa,Phoenix,8/31/2006,15.75,0.032958,0,0.391667
Arizona,Maricopa,Phoenix,9/1/2006,27.375,0.030875,0.416667,0.729167
Arizona,Maricopa,Phoenix,9/2/2006,8.083333,0.037958,0,0.279167
Arizona,Maricopa,Phoenix,9/3/2006,5.541667,0.033917,0,0.2625
Arizona,Maricopa,Phoenix,9/5/2006,8.73913,0.027958,1.769231,0.286957
Arizona,Maricopa,Phoenix,9/6/2006,12.416667,0.034583,2,0.3625
Arizona,Maricopa,Phoenix,9/7/2006,9.375,0.034125,1.541667,0.3125
Arizona,Maricopa,Phoenix,9/8/2006,14.434783,0.02975,1.416667,0.4
Arizona,Maricopa,Phoenix,9/9/2006,19.791667,0.023667,1.458333,0.5875
Arizona,Maricopa,Phoenix,9/10/2006,17.166667,0.027083,1.291667,0.495833
Arizona,Maricopa,Phoenix,9/11/2006,21.875,0.029667,2.125,0.483333
Arizona,Maricopa,Phoenix,9/12/2006,15.6,0.028083,1.652174,0.286957
Arizona,Maricopa,Phoenix,9/13/2006,13.541667,0.029042,1.625,0.308333
Arizona,Maricopa,Phoenix,9/14/2006,11.458333,0.031958,2.666667,0.283333
Arizona,Maricopa,Phoenix,9/15/2006,9.166667,0.025667,1.958333,0.2375
Arizona,Maricopa,Phoenix,9/16/2006,17.083333,0.02175,2.041667,0.395833
Arizona,Maricopa,Phoenix,9/17/2006,22.708333,0.029042,2.625,0.479167
Arizona,Maricopa,Phoenix,9/18/2006,32.565217,0.022875,2.913043,0.686957
Arizona,Maricopa,Phoenix,9/19/2006,27.666667,0.031167,3.190476,0.573913
Arizona,Maricopa,Phoenix,9/20/2006,17.428571,0.019292,2.375,0.333333
Arizona,Maricopa,Phoenix,9/21/2006,26.478261,0.018708,3.291667,0.483333
Arizona,Maricopa,Phoenix,9/22/2006,16.708333,0.0275,3.25,0.395833
Arizona,Maricopa,Phoenix,9/23/2006,20.875,0.02475,2.708333,0.5
Arizona,Maricopa,Phoenix,9/24/2006,23.166667,0.022542,2.666667,0.595833
Arizona,Maricopa,Phoenix,9/25/2006,23.625,0.023333,3.416667,0.625
Arizona,Maricopa,Phoenix,9/26/2006,28.090909,0.024278,1.894737,0.645455
Arizona,Maricopa,Phoenix,9/27/2006,26.083333,0.016,0.833333,0.591667
Arizona,Maricopa,Phoenix,9/28/2006,30.25,0.017125,1.916667,0.8125
Arizona,Maricopa,Phoenix,9/29/2006,35.041667,0.016792,2.291667,0.9375
Arizona,Maricopa,Phoenix,9/30/2006,30.791667,0.023083,2.041667,0.858333
Arizona,Maricopa,Phoenix,10/1/2006,21.958333,0.025083,1.291667,0.5
Arizona,Maricopa,Phoenix,10/2/2006,20.173913,0.0135,0.727273,0.495652
Arizona,Maricopa,Phoenix,10/3/2006,25.272727,0.014625,0.952381,0.425
Arizona,Maricopa,Phoenix,10/4/2006,25.083333,0.016792,0.958333,0.220833
Arizona,Maricopa,Phoenix,10/5/2006,16.208333,0.02025,0.75,0.06
Arizona,Maricopa,Phoenix,10/6/2006,10.166667,0.022,0.083333,0
Arizona,Maricopa,Phoenix,10/7/2006,25.708333,0.018625,0.791667,0.334783
Arizona,Maricopa,Phoenix,10/8/2006,12.958333,0.026083,0.375,0.277778
Arizona,Maricopa,Phoenix,10/9/2006,15.541667,0.022833,0.375,0.277778
Arizona,Maricopa,Phoenix,10/10/2006,25.142857,0.020292,0.590909,0.368421
Arizona,Maricopa,Phoenix,10/11/2006,32.772727,0.019667,1.26087,0.891667
Arizona,Maricopa,Phoenix,10/12/2006,31.083333,0.018917,1.875,1.045833
Arizona,Maricopa,Phoenix,10/13/2006,18.25,0.019208,0.791667,0.3875
Arizona,Maricopa,Phoenix,10/14/2006,10.166667,0.02625,0,0.2875
